"","NGenes","Direction","PValue","FDR"
"REACTOME_INHIBITION_OF_THE_PROTEOLYTIC_ACTIVITY_OF_APC_C_REQUIRED_FOR_THE_ONSET_OF_ANAPHASE_BY_MITOTIC_SPINDLE_CHECKPOINT_COMPONENTS",21,"Down",0.00125752586573494,0.022955563076325
"REACTOME_RHOB_GTPASE_CYCLE",69,"Up",0.0012839785849166,0.0230199017724332
"REACTOME_TRANSPORT_OF_THE_SLBP_DEPENDANT_MATURE_MRNA",34,"Down",0.00134387136387004,0.0236709973565881
"REACTOME_TRANSPORT_OF_MATURE_TRANSCRIPT_TO_CYTOPLASM",78,"Down",0.00155256239517458,0.0268753904268151
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS",35,"Down",0.00179081588713623,0.0304742228929623
"REACTOME_METABOLISM_OF_POLYAMINES",57,"Down",0.00202557664540364,0.0338946491997543
"REACTOME_REGULATION_OF_IFNG_SIGNALING",9,"Up",0.00211966236351696,0.0348875575896891
"REACTOME_STABILIZATION_OF_P53",54,"Down",0.00218218883104507,0.0353373804253106
"REACTOME_RHO_GTPASES_ACTIVATE_ROCKS",5,"Up",0.00223157620572218,0.0355635319134137
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",94,"Down",0.00229070090066043,0.0356264574055679
"REACTOME_S_PHASE",144,"Down",0.00233555516583783,0.0356264574055679
"REACTOME_NUCLEAR_ENVELOPE_BREAKDOWN",45,"Down",0.00234197827566482,0.0356264574055679
"REACTOME_POLO_LIKE_KINASE_MEDIATED_EVENTS",5,"Down",0.00238075843867972,0.0356758428721557
"REACTOME_HEDGEHOG_LIGAND_BIOGENESIS",62,"Down",0.00244962223534836,0.0361679518277905
"REACTOME_DEGRADATION_OF_DVL",55,"Down",0.00260423182191391,0.0378934601333561
"REACTOME_SEMA4D_IN_SEMAPHORIN_SIGNALING",15,"Up",0.00282221956755198,0.0404786920831741
"REACTOME_RHOJ_GTPASE_CYCLE",16,"Up",0.00302853060468842,0.042825982071932
"REACTOME_TRANSPORT_OF_MATURE_MRNAS_DERIVED_FROM_INTRONLESS_TRANSCRIPTS",41,"Down",0.00317051658079804,0.0441923877044145
"REACTOME_TBC_RABGAPS",34,"Up",0.00321319153627715,0.0441923877044145
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PG",18,"Down",0.00347309964274516,0.0463903532559087
"REACTOME_NR1H2_NR1H3_REGULATE_GENE_EXPRESSION_TO_CONTROL_BILE_ACID_HOMEOSTASIS",6,"Up",0.00350993449025102,0.0463903532559087
"REACTOME_CELLULAR_SENESCENCE",92,"Down",0.00351162036598512,0.0463903532559087
"REACTOME_CYCLIN_A_B1_B2_ASSOCIATED_EVENTS_DURING_G2_M_TRANSITION",25,"Down",0.00356859024444069,0.0465307091612786
"REACTOME_PURINE_RIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHESIS",11,"Down",0.00363302521562501,0.0467635553395835
"REACTOME_NUCLEOTIDE_BIOSYNTHESIS",14,"Down",0.00376234245127972,0.0473657091880492
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",58,"Down",0.00377416009466527,0.0473657091880492
"REACTOME_DEX_H_BOX_HELICASES_ACTIVATE_TYPE_I_IFN_AND_INFLAMMATORY_CYTOKINES_PRODUCTION",7,"Up",0.00391277586035986,0.0484990983185345
"REACTOME_G1_S_DNA_DAMAGE_CHECKPOINTS",64,"Down",0.00398359543109744,0.0487747538149003
"REACTOME_RHOC_GTPASE_CYCLE",71,"Up",0.00429184349108721,0.0519157935548381
"REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS",79,"Down",0.00443766469368725,0.0530406589578809
"REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR",10,"Up",0.00467037617893179,0.0547121610984594
"REACTOME_UBIQUITIN_MEDIATED_DEGRADATION_OF_PHOSPHORYLATED_CDC25A",50,"Down",0.00468649985504732,0.0547121610984594
"REACTOME_REGULATION_OF_HSF1_MEDIATED_HEAT_SHOCK_RESPONSE",61,"Down",0.00475257413224055,0.0548457980318335
"REACTOME_GOLGI_ASSOCIATED_VESICLE_BIOGENESIS",54,"Up",0.0048515177629029,0.0553514072040285
"REACTOME_FRUCTOSE_CATABOLISM",5,"Up",0.00499532002483326,0.0563517000554224
"REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE",70,"Up",0.005507293965085,0.0611104497996063
"REACTOME_NONCANONICAL_ACTIVATION_OF_NOTCH3",7,"Up",0.00557782552621688,0.0611104497996063
"REACTOME_SYNTHESIS_OF_PA",38,"Down",0.00559976233223484,0.0611104497996063
"REACTOME_RAF_ACTIVATION",35,"Up",0.00584249568102033,0.0630738243413378
"REACTOME_RAB_REGULATION_OF_TRAFFICKING",114,"Up",0.006520394948436,0.069643367321593
"REACTOME_DEGRADATION_OF_AXIN",53,"Down",0.00659040492628528,0.0696501741683202
"REACTOME_BETA_OXIDATION_OF_HEXANOYL_COA_TO_BUTANOYL_COA",5,"Down",0.00693070520524925,0.0724137597260832
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",128,"Down",0.00699615009305784,0.0724137597260832
"REACTOME_CHK1_CHK2_CDS1_MEDIATED_INACTIVATION_OF_CYCLIN_B_CDK1_COMPLEX",12,"Down",0.00736777232069515,0.0754820756120197
"REACTOME_REGULATION_OF_RUNX2_EXPRESSION_AND_ACTIVITY",50,"Down",0.0074842803345156,0.0759011864227643
"REACTOME_PLATELET_SENSITIZATION_BY_LDL",17,"Up",0.00771385452645631,0.0774470994456213
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PE",27,"Down",0.00795504283988571,0.0790778515964876
"REACTOME_P75_NTR_RECEPTOR_MEDIATED_SIGNALLING",85,"Up",0.00812193049440828,0.0794263504219098
"REACTOME_SUMOYLATION_OF_UBIQUITINYLATION_PROTEINS",37,"Down",0.00814832081021585,0.0794263504219098
"REACTOME_CD209_DC_SIGN_SIGNALING",17,"Up",0.0084277598817628,0.0804255195081056
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_LAGGING_STRAND",14,"Down",0.00846142006172401,0.0804255195081056
"REACTOME_CROSS_PRESENTATION_OF_SOLUBLE_EXOGENOUS_ANTIGENS_ENDOSOMES",47,"Down",0.00849114050583585,0.0804255195081056
"REACTOME_POST_TRANSCRIPTIONAL_SILENCING_BY_SMALL_RNAS",6,"Up",0.00914450718737117,0.0858045347300996
"REACTOME_SIGNALING_BY_NODAL",6,"Up",0.00932233644765675,0.0866632017911794
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY",52,"Down",0.00972659622699117,0.0895917670816434
"REACTOME_GASTRIN_CREB_SIGNALLING_PATHWAY_VIA_PKC_AND_MAPK",15,"Up",0.00985883013321683,0.0899842313977245
"REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS",41,"Down",0.010126801719622,0.0915973777162209
"REACTOME_FRUCTOSE_METABOLISM",7,"Up",0.0103420645191317,0.092709221225073
"REACTOME_TRIF_MEDIATED_PROGRAMMED_CELL_DEATH",9,"Up",0.0107954050646101,0.0959166963262699
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_SMALL_RNAS",32,"Down",0.0111433399477666,0.0976540846889538
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PI",17,"Down",0.011185477827918,0.0976540846889538
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",84,"Down",0.0119440345931584,0.103377678720095
"REACTOME_NICOTINATE_METABOLISM",31,"Up",0.0121598890759312,0.104346398566111
"REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY",7,"Down",0.0124757325215625,0.106149452980075
"REACTOME_CONDENSATION_OF_PROMETAPHASE_CHROMOSOMES",8,"Down",0.0127308426748546,0.106458716489781
"REACTOME_INTERLEUKIN_RECEPTOR_SHC_SIGNALING",19,"Up",0.0127388931138599,0.106458716489781
"REACTOME_RNA_POLYMERASE_II_TRANSCRIPTION_TERMINATION",63,"Down",0.0128301839594258,0.106458716489781
"REACTOME_RHOBTB2_GTPASE_CYCLE",22,"Down",0.0129981900768118,0.106968711779665
"REACTOME_MAPK6_MAPK4_SIGNALING",72,"Down",0.0136097827263719,0.111091234612012
"REACTOME_MISMATCH_REPAIR",14,"Down",0.0144643457718992,0.117114541572474
"REACTOME_ARACHIDONATE_PRODUCTION_FROM_DAG",5,"Down",0.0145832399915378,0.117132583612032
"REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM",45,"Up",0.0147172511714397,0.117270795048615
"REACTOME_INTERLEUKIN_2_FAMILY_SIGNALING",32,"Up",0.014888892152075,0.117704312761286
"REACTOME_ISG15_ANTIVIRAL_MECHANISM",27,"Up",0.0157039385129514,0.123177767710963
"REACTOME_NEGATIVE_REGULATION_OF_THE_PI3K_AKT_NETWORK",107,"Up",0.0159765818846174,0.124057787042022
"REACTOME_ASSEMBLY_OF_THE_ORC_COMPLEX_AT_THE_ORIGIN_OF_REPLICATION",9,"Down",0.0160632592783494,0.124057787042022
"REACTOME_PROLACTIN_RECEPTOR_SIGNALING",9,"Up",0.016512071760972,0.126550534717679
"REACTOME_INTERLEUKIN_15_SIGNALING",11,"Up",0.0170150735737472,0.129417680818502
"REACTOME_GLYCEROPHOSPHOLIPID_BIOSYNTHESIS",116,"Down",0.017465680936944,0.131846192937532
"REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS",82,"Down",0.0176618082951108,0.132108216696018
"REACTOME_TELOMERE_MAINTENANCE",49,"Down",0.0177635550338271,0.132108216696018
"REACTOME_ACYL_CHAIN_REMODELLING_OF_PS",22,"Down",0.0192413572965714,0.141399830861048
"REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES",251,"Down",0.0193369736277063,0.141399830861048
"REACTOME_REGULATION_OF_RAS_BY_GAPS",65,"Down",0.0194736846634508,0.141399830861048
"REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",53,"Down",0.0195762714040693,0.141399830861048
"REACTOME_SYNTHESIS_OF_DOLICHYL_PHOSPHATE",6,"Up",0.0197957205248568,0.141963595763973
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",70,"Down",0.0205341767410428,0.146214988992957
"REACTOME_NUCLEAR_RECEPTOR_TRANSCRIPTION_PATHWAY",48,"Up",0.0214476594590984,0.151644014767146
"REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION_OF_SATURATED_FATTY_ACIDS",9,"Down",0.0219807665311837,0.154326500680478
"REACTOME_PTK6_PROMOTES_HIF1A_STABILIZATION",6,"Up",0.0229493837086744,0.160008203079924
"REACTOME_SIGNALING_BY_ACTIVIN",15,"Up",0.0234654843214562,0.16247825006029
"REACTOME_INTERLEUKIN_6_SIGNALING",9,"Up",0.0238361725773256,0.163914501833116
"REACTOME_MITOCHONDRIAL_CALCIUM_ION_TRANSPORT",17,"Up",0.0242924473163822,0.165333109823606
"REACTOME_ALPHA_LINOLENIC_OMEGA3_AND_LINOLEIC_OMEGA6_ACID_METABOLISM",13,"Down",0.0243718130018861,0.165333109823606
"REACTOME_REGULATION_OF_TNFR1_SIGNALING",48,"Up",0.0245934636775734,0.165686260205017
"REACTOME_CLATHRIN_MEDIATED_ENDOCYTOSIS",140,"Up",0.024753923337403,0.165686260205017
"REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA",68,"Down",0.0252491299553621,0.167881632285983
"REACTOME_HEME_BIOSYNTHESIS",13,"Down",0.0256931108493903,0.169598150265667
"REACTOME_SUMOYLATION_OF_INTRACELLULAR_RECEPTORS",27,"Up",0.0259587738015187,0.169598150265667
"REACTOME_ASSOCIATION_OF_TRIC_CCT_WITH_TARGET_PROTEINS_DURING_BIOSYNTHESIS",10,"Down",0.0260140589052916,0.169598150265667
"REACTOME_COHESIN_LOADING_ONTO_CHROMATIN",10,"Up",0.0266590813606957,0.17268204958799
"REACTOME_REGULATED_NECROSIS",51,"Up",0.0273610952246962,0.175233170767086
"REACTOME_GLI3_IS_PROCESSED_TO_GLI3R_BY_THE_PROTEASOME",56,"Down",0.0275265601417981,0.175233170767086
"REACTOME_ASYMMETRIC_LOCALIZATION_OF_PCP_PROTEINS",60,"Down",0.0276909156619173,0.175233170767086
"REACTOME_GROWTH_HORMONE_RECEPTOR_SIGNALING",12,"Up",0.0277510698724767,0.175233170767086
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE",20,"Down",0.0281937169758187,0.176915574023262
"REACTOME_INTERLEUKIN_35_SIGNALLING",7,"Up",0.0285876961048428,0.178273583163119
"REACTOME_SUMOYLATION_OF_SUMOYLATION_PROTEINS",33,"Down",0.0291038144458984,0.180371788294333
"REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY",19,"Up",0.0295727416858338,0.182153574555688
"REACTOME_CD28_CO_STIMULATION",33,"Up",0.0298947354246824,0.183014111990129
"REACTOME_MYD88_INDEPENDENT_TLR4_CASCADE",99,"Up",0.0307904978411848,0.187355514136664
"REACTOME_WNT5A_DEPENDENT_INTERNALIZATION_OF_FZD4",14,"Up",0.0320869681834622,0.193754088642056
"REACTOME_GLYCOLYSIS",61,"Down",0.0322280207203421,0.193754088642056
"REACTOME_RAC2_GTPASE_CYCLE",84,"Up",0.032732286240079,0.195614377291901
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",65,"Down",0.0331190962492328,0.196754867658164
"REACTOME_TNF_SIGNALING",57,"Up",0.0336280328832174,0.197936247968912
"REACTOME_NETRIN_1_SIGNALING",21,"Up",0.0337122494050637,0.197936247968912
"REACTOME_MISMATCH_REPAIR_MMR_DIRECTED_BY_MSH2_MSH3_MUTSBETA",9,"Down",0.0340916577748754,0.198697478963808
"REACTOME_RHOD_GTPASE_CYCLE",50,"Up",0.034237713008704,0.198697478963808
"REACTOME_CTLA4_INHIBITORY_SIGNALING",21,"Up",0.0349114771929167,0.2014432362166
"REACTOME_TRIGLYCERIDE_METABOLISM",24,"Up",0.0375675513816626,0.215530409069653
"REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING",22,"Up",0.038098360831327,0.217223554233827
"REACTOME_NICOTINAMIDE_SALVAGING",19,"Up",0.0382953875491906,0.217223554233827
"REACTOME_SIGNALING_BY_NTRKS",75,"Up",0.0386782566426187,0.218162750950501
"REACTOME_TOLL_LIKE_RECEPTOR_4_TLR4_CASCADE",117,"Up",0.0392554639594434,0.220181485001571
"REACTOME_TNFR1_INDUCED_NF_KAPPA_B_SIGNALING_PATHWAY",33,"Up",0.0400644899135375,0.223470821517731
"REACTOME_RHOG_GTPASE_CYCLE",70,"Up",0.0404862330995304,0.224575569237174
"REACTOME_MITOCHONDRIAL_TRANSLATION",89,"Down",0.0418646801965369,0.23094581822705
"REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE",34,"Up",0.0421731728688989,0.231376314537566
"REACTOME_NR1H2_AND_NR1H3_MEDIATED_SIGNALING",12,"Up",0.04256570901338,0.232260716573008
"REACTOME_RET_SIGNALING",38,"Up",0.0428016100784994,0.232285494696289
"REACTOME_SUMOYLATION_OF_IMMUNE_RESPONSE_PROTEINS",11,"Up",0.0430538335634487,0.232398112353239
"REACTOME_REGULATION_BY_C_FLIP",10,"Up",0.0438115160898632,0.235223327027929
"REACTOME_EPHB_MEDIATED_FORWARD_SIGNALING",36,"Up",0.0442717528584689,0.236429999307993
"REACTOME_HOMOLOGOUS_DNA_PAIRING_AND_STRAND_EXCHANGE",26,"Down",0.0448189633328469,0.238085921619991
"REACTOME_GLUCOSE_METABOLISM",81,"Down",0.0466015888150641,0.246252606159602
"REACTOME_HDR_THROUGH_HOMOLOGOUS_RECOMBINATION_HRR",55,"Down",0.0475224643709624,0.248796927855673
"REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY",67,"Down",0.0475786953668219,0.248796927855673
"REACTOME_PHASE_4_RESTING_MEMBRANE_POTENTIAL",18,"Down",0.0482783329933324,0.251147390286558
"REACTOME_INTERCONVERSION_OF_NUCLEOTIDE_DI_AND_TRIPHOSPHATES",28,"Down",0.048541424783924,0.251214383933297
"REACTOME_LINOLEIC_ACID_LA_METABOLISM",8,"Down",0.0489813606626056,0.252191210796185
"REACTOME_INTERLEUKIN_36_PATHWAY",7,"Up",0.0498962966551446,0.25449999746123
"REACTOME_LAGGING_STRAND_SYNTHESIS",19,"Down",0.0499492499202117,0.25449999746123
"REACTOME_TIE2_SIGNALING",17,"Up",0.050190238543151,0.25449999746123
"REACTOME_ALPHA_OXIDATION_OF_PHYTANATE",6,"Up",0.0506681988769184,0.255632520966965
"REACTOME_REGULATION_OF_FZD_BY_UBIQUITINATION",20,"Down",0.0515723450256754,0.25889317202889
"REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",70,"Up",0.0519417292943143,0.258956915816382
"REACTOME_MICRORNA_MIRNA_BIOGENESIS",6,"Up",0.0521008934212244,0.258956915816382
"REACTOME_NUCLEAR_EVENTS_KINASE_AND_TRANSCRIPTION_FACTOR_ACTIVATION",27,"Up",0.0530041532416327,0.262148619973395
"REACTOME_METABOLISM_OF_NITRIC_OXIDE_NOS3_ACTIVATION_AND_REGULATION",15,"Up",0.053375439458808,0.262690888316879
"REACTOME_DNA_STRAND_ELONGATION",22,"Down",0.0540400820184212,0.26466459681217
"REACTOME_SHC1_EVENTS_IN_ERBB2_SIGNALING",14,"Up",0.0551243492346253,0.265554591865235
"REACTOME_IKK_COMPLEX_RECRUITMENT_MEDIATED_BY_RIP1",23,"Up",0.0553277697779581,0.265554591865235
"REACTOME_INTERLEUKIN_1_PROCESSING",8,"Up",0.055435892055319,0.265554591865235
"REACTOME_GLUTAMATE_NEUROTRANSMITTER_RELEASE_CYCLE",24,"Down",0.0554587314434166,0.265554591865235
"REACTOME_GLYCOSPHINGOLIPID_CATABOLISM",33,"Down",0.0555442871431268,0.265554591865235
"REACTOME_TOLL_LIKE_RECEPTOR_9_TLR9_CASCADE",92,"Up",0.0585099636904525,0.278407481896019
"REACTOME_ERBB2_ACTIVATES_PTK6_SIGNALING",11,"Up",0.058959596944771,0.278407481896019
"REACTOME_HEDGEHOG_ON_STATE",80,"Down",0.0592789754020346,0.278407481896019
"REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS",7,"Up",0.0594991381979603,0.278407481896019
"REACTOME_RHOU_GTPASE_CYCLE",39,"Up",0.0596191320793267,0.278407481896019
"REACTOME_GOLGI_TO_ER_RETROGRADE_TRANSPORT",125,"Down",0.0607299307660062,0.282281715227177
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS",32,"Down",0.0613874872312948,0.284023212812074
"REACTOME_TRAFFICKING_AND_PROCESSING_OF_ENDOSOMAL_TLR",11,"Down",0.0617159934816484,0.284233291080619
"REACTOME_ASPARTATE_AND_ASPARAGINE_METABOLISM",11,"Down",0.0660588953127774,0.300939522010007
"REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS",10,"Up",0.0660776796686524,0.300939522010007
"REACTOME_SIGNALING_BY_FGFR4",40,"Up",0.0662426637093739,0.300939522010007
"REACTOME_SIGNALING_BY_SCF_KIT",36,"Up",0.0673235588290506,0.304472311100751
"REACTOME_SLBP_DEPENDENT_PROCESSING_OF_REPLICATION_DEPENDENT_HISTONE_PRE_MRNAS",11,"Down",0.0678918905598508,0.305665731489194
"REACTOME_GLYOXYLATE_METABOLISM_AND_GLYCINE_DEGRADATION",30,"Down",0.0684197171126748,0.306306749894068
"REACTOME_SIGNALING_BY_ERBB2",44,"Up",0.068644440962316,0.306306749894068
"REACTOME_TRIGLYCERIDE_BIOSYNTHESIS",13,"Up",0.0691100556903096,0.307019893420668
"REACTOME_RAC1_GTPASE_CYCLE",171,"Up",0.0696354457089895,0.307991134325222
"REACTOME_MET_ACTIVATES_PTPN11",5,"Up",0.0702477182074093,0.309336443334381
"REACTOME_COPI_DEPENDENT_GOLGI_TO_ER_RETROGRADE_TRAFFIC",92,"Down",0.0720668823091216,0.315875804868852
"REACTOME_RHO_GTPASE_CYCLE",419,"Up",0.0723619871711513,0.315875804868852
"REACTOME_MISCELLANEOUS_TRANSPORT_AND_BINDING_EVENTS",25,"Up",0.0727257894765342,0.316089578504071
"REACTOME_RHOF_GTPASE_CYCLE",40,"Up",0.0736527949807849,0.317880203037389
"REACTOME_RELAXIN_RECEPTORS",8,"Down",0.073928259501023,0.317880203037389
"REACTOME_BASE_EXCISION_REPAIR",38,"Down",0.0740876170425786,0.317880203037389
